Nottingham Trent University,24
Pontificia Universidad CatÛlica de ValparaÌso,23
Riga Technical University,23
Rovira i Virgili University,24
Shenzhen University,24
Southern Methodist University,23
Sumy State University,24
Universidad Adolfo Ib·Òez,23
Universidad Central de Venezuela (UCV),22
Universidad de Alicante,23
Universidad de Guadalajara (UDG),23
Universidad ICESI,24
Universidade Federal de Santa Catarina,22
Universit‡ degli Studi di Siena (UNISI),24
Universit‡ degli Studi di Trieste (UNITS),24
Universit‰t Potsdam,23
UniversitÈ de Lille,23
University at Albany SUNY,22
University Malaysia Perlis (UniMAP),24
University of Alabama,22
University of Baghdad,23
University of Central Florida,23
University of Greenwich,22
University of Huddersfield,23
University of Hull,23
University of Patras,22
University of Tulsa,22
University of Wyoming,23
Vietnam National University - Ho Chi Minh City (VNU-HCM),24
Yamaguchi University,22
Ajman University,24
Anna University,24
Brigham Young University,22
Chongqing University,22
Comenius University in Bratislava,24
Dublin Institute of Technology (DIT),22
Florida International University,24
Gunma University,24
"Jamia Millia Islamia, New Delhi",23
Kaunas University of Technology,24
Kazakh-British Technical University,24
Lanzhou University,22
London Metropolitan University,22
Loyola University Chicago,24
Manchester Metropolitan University,24
National University Lviv Polytechnic,24
New Jersey Institute of Technology (NJIT),24
O. P. Jindal Global University,23
Oklahoma State University,24
Padjadjaran University,24
Paris Lodron Universit‰t Salzburg,23
Plekhanov Russian University of Economics,23
Shinshu University,23
Slovak University of Technology in Bratislava,22
"Sofia University ""St. Kliment Ohridski""",23
Southern Cross University,22
Sunway University,24
Technical University of Liberec,23
Technische Universit‰t Dortmund,24
Universidad de La Sabana,24
Universidad de las AmÈricas Puebla (UDLAP),22
Universidad de San Francisco de Quito,22
Universidad del Rosario,24
Universit‡ Ca' Foscari Venezia,24
Universit‡ degli Studi di Modena e Reggio Emilia,24
Universit‡ degli Studi di Perugia,22
Universit‰t Bielefeld,23
Universit‰t D¸sseldorf,24
Universit‰t Rostock,23
UniversitÈ de Lorraine,22
Universiti Malaysia Pahang (UMP),22
University of Brescia,24
University of Crete,24
University of East London,22
University of Hertfordshire,23
University of Maribor,23
